Unnamed: 0,Userscore,Username,Game_ID
56876,10,shadowloo,153
100472,10,shadowloo,462
118994,10,shadowloo,639
128559,10,shadowloo,711
160907,9,shadowloo,990
189586,4,shadowloo,1403
201551,8,shadowloo,1594
231689,10,shadowloo,2145
11013,10,Valera,20
14702,10,Valera,25
18774,10,Valera,35
24322,10,Valera,51
177437,10,Markos,1216
214776,6,Markos,1806
171279,5,gbarules2999T,1147
231893,6,gbarules2999T,2153
47382,10,VoxelMob,119
73553,10,VoxelMob,254
109943,10,VoxelMob,565
116256,10,VoxelMob,607
153706,10,VoxelMob,895
179496,9,VoxelMob,1256
206520,9,VoxelMob,1671
230091,5,VoxelMob,2106
240717,10,VoxelMob,2345
256289,9,VoxelMob,2790
41271,10,JJ,87
101927,6,JJ,476
108309,8,JJ,547
120958,8,JJ,647
121074,9,JJ,654
153632,9,JJ,895
176658,10,JJ,1210
247157,10,JJ,2573
279431,7,JJ,3318
281434,5,JJ,3360
110243,10,robertofantasy,569
254832,10,robertofantasy,2740
280839,10,robertofantasy,3339
29359,10,AlexanderVallin,62
44861,7,AlexanderVallin,107
113775,10,AlexanderVallin,595
158246,8,AlexanderVallin,947
188079,6,AlexanderVallin,1376
237692,10,AlexanderVallin,2263
248991,9,AlexanderVallin,2585
35363,9,YaBoiRoice,71
50232,8,YaBoiRoice,126
138037,8,YaBoiRoice,799
50688,10,bigblaccbepis,127
75346,0,bigblaccbepis,263
89176,9,1ManAndHisDroid,381
183914,6,1ManAndHisDroid,1310
216065,9,1ManAndHisDroid,1837
40562,10,TroyM.,85
71064,10,TroyM.,228
81485,10,TroyM.,320
253854,10,TroyM.,2713
53679,7,Harthacnut,141
134295,10,Harthacnut,779
46675,10,yo_milo,114
93174,10,yo_milo,436
175537,9,yo_milo,1200
4985,9,GFA_J,9
5685,9,GFA_J,9
57083,8,Frenetik,153
78390,8,Frenetik,295
110198,10,Frenetik,569
121828,10,Frenetik,670
169349,8,Frenetik,1108
170203,7,Frenetik,1128
173923,8,Frenetik,1166
175394,7,Frenetik,1196
177849,8,Frenetik,1216
182393,6,Frenetik,1293
187357,5,Frenetik,1376
204741,6,Frenetik,1641
215536,8,Frenetik,1832
248699,4,Frenetik,2585
263185,6,Frenetik,2924
93734,10,Masakillercz,443
219818,10,Masakillercz,1924
205471,10,iceice,1655
279596,10,iceice,3318
20349,10,lilgnzlo,39
28888,10,lilgnzlo,59
41506,10,lilgnzlo,92
42634,10,lilgnzlo,99
77080,10,lilgnzlo,281
118598,10,lilgnzlo,630
74965,0,Demonicstab,263
126282,7,Demonicstab,680
38355,10,AllHopeIsLost,84
190110,7,AllHopeIsLost,1408
193880,9,AllHopeIsLost,1467
23594,10,Cirrusstrafe,51
162720,9,Cirrusstrafe,1019
142694,10,Jamarra,803
194233,3,Jamarra,1471
211179,3,Jamarra,1747
37952,6,UncleDouglasB.,83
40233,2,UncleDouglasB.,85
129353,0,UncleDouglasB.,718
47293,8,Rezevilfan,119
92664,9,Rezevilfan,429
102830,8,Rezevilfan,492
145833,10,Rezevilfan,813
235913,9,Rezevilfan,2228
